Year 	JanAvg	JulyAvg
1950 	 40.3	69.8
1951 	 32.6	73.3
1952 	 35.7	76.0
1953 	 33.6	72.4
1954 	 33.4	75.1
1955 	 32.5	76.4
1956 	 26.5	73.1
1957 	 26.5	73.9
1958 	 27.5	71.9
1959 	 28.4	73.0
1960 	 34.0	72.3
1961 	 32.6	72.4
1962 	 20.5	74.8
1963 	 29.2	68.4
1964 	 20.3	70.0
1965 	 35.8	73.3
1966 	 27.8	74.5
1967 	 22.1	72.5
1968 	 28.2	70.8
1969 	 28.1	75.0
1970 	 28.1	73.3
1971 	 26.9	74.3
1972 	 28.0	70.1
1973 	 29.0	74.4
1974 	 29.4	72.6
1975 	 36.4	72.5
1976 	 32.4	71.0
1977 	 25.3	71.6
1978 	 11.6	76.1
1979 	 18.5	72.1
1979 	 19.9	71.3
1980 	 29.4	73.9
1981 	 22.9	74.0
1982 	 21.8	74.3
1983 	 30.6	75.9
1984 	 24.1	71.2
1985 	 22.6	72.0
1986 	 30.0	74.3
1987 	 29.6	73.6
1988 	 24.3	76.3
1989 	 33.8	73.8
1990 	 40.0	73.4
1991 	 35.1	74.3
1992 	 28.8	73.1
1993 	 34.1	73.8
1994 	 31.8	75.2
1995 	 27.5	71.8
1996 	 25.2	73.0
1997 	 30.0	69.5
1998 	 32.8	73.7
1999 	 27.2	73.1
2000 	 39.3	75.6
2001 	 23.1	69.1
2002 	 28.9	74.1
2003 	 37.0	75.1
2004 	 25.2	71.5
2005 	 27.7	70.5
2006 	 31.4	75.5
2007 	 39.2	73.5
2008 	 32.4	72.0
2009 	 29.5	72.1
2009 	 25.1	68.0
2010 	 26.2	75.4
2011 	 24.8	78.0
2012 	 33.2	79.1
2013 	 32.1	73.3
2014 	 26.6	69.2
2015 	 27.6	70.9
2016 	 27.2	74.2
2017 	 37.2	74.6
2018 	 27.0	74.9
2019 	 33.5	75.6
2020 	 33.5	75.1
2021 	 33.5	73.5
2022 	 30.2	75.3
